2019-02-01T09:15:38.698952Z chan=cowrie, saddr=1761118117, sport=55877, dport=23, daddr=1542536598, url=0, hash=asdasd
2019-02-01T09:15:33.374549Z chan=cowrie, saddr=2056837790, sport=55956, dport=22, daddr=2988517911, url=0, hash=asdasd
2019-02-01T09:15:41.325274Z chan=cowrie, saddr=3328327405, sport=40814, dport=23, daddr=1815968760, url=0, hash=asdasd
2019-02-01T09:15:32.627197Z chan=cowrie, saddr=96229173, sport=56436, dport=22, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:16:07.971847Z chan=cowrie, saddr=1761118117, sport=34788, dport=23, daddr=520330100, url=0, hash=asdasd
2019-02-01T09:16:08.034605Z chan=cowrie, saddr=1761118117, sport=36023, dport=23, daddr=400901243, url=0, hash=asdasd
2019-02-01T09:16:07.974569Z chan=cowrie, saddr=1761118117, sport=45268, dport=23, daddr=2548833908, url=0, hash=asdasd
2019-02-01T09:15:38.465128Z chan=cowrie, saddr=1761118117, sport=43613, dport=23, daddr=1542536598, url=0, hash=asdasd
2019-02-01T09:15:45.698378Z chan=cowrie, saddr=3515693497, sport=58980, dport=23, daddr=1741161782, url=0, hash=asdasd
2019-02-01T09:15:42.902641Z chan=cowrie, saddr=3328327405, sport=43466, dport=23, daddr=646213393, url=0, hash=asdasd
2019-02-01T09:16:08.612739Z chan=cowrie, saddr=3328327405, sport=45487, dport=23, daddr=1542536599, url=0, hash=asdasd
2019-02-01T09:16:08.052228Z chan=cowrie, saddr=1761118117, sport=40648, dport=23, daddr=3235049349, url=0, hash=asdasd
2019-02-01T09:15:31.769835Z chan=cowrie, saddr=96229171, sport=47918, dport=22, daddr=520330030, url=0, hash=asdasd
2019-02-01T09:15:48.766824Z chan=cowrie, saddr=3328327405, sport=35701, dport=23, daddr=1388487729, url=0, hash=asdasd
2019-02-01T09:15:32.739770Z chan=cowrie, saddr=2915009172, sport=47007, dport=22, daddr=2667567061, url=0, hash=asdasd
2019-02-01T09:15:33.416436Z chan=cowrie, saddr=96229175, sport=52906, dport=22, daddr=2692218288, url=0, hash=asdasd
2019-02-01T09:15:43.024467Z chan=cowrie, saddr=3328327405, sport=45792, dport=23, daddr=646213393, url=0, hash=asdasd
2019-02-01T09:15:43.038079Z chan=cowrie, saddr=3328327405, sport=35719, dport=23, daddr=646213393, url=0, hash=asdasd
2019-02-01T09:15:42.440142Z chan=cowrie, saddr=3328327405, sport=35194, dport=23, daddr=646213393, url=0, hash=asdasd
2019-02-01T09:15:43.058942Z chan=cowrie, saddr=3328327405, sport=51511, dport=23, daddr=646213393, url=0, hash=asdasd
2019-02-01T09:15:49.270890Z chan=cowrie, saddr=3202814795, sport=59590, dport=23, daddr=3259243132, url=0, hash=asdasd
2019-02-01T09:16:10.266587Z chan=cowrie, saddr=3328327405, sport=40867, dport=23, daddr=3221476730, url=0, hash=asdasd
2019-02-01T09:15:39.832255Z chan=cowrie, saddr=3328327405, sport=39123, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:16:10.216831Z chan=cowrie, saddr=3328327405, sport=57718, dport=23, daddr=2548830536, url=0, hash=asdasd
2019-02-01T09:16:10.214492Z chan=cowrie, saddr=3328327405, sport=58257, dport=23, daddr=2548830536, url=0, hash=asdasd
2019-02-01T09:16:10.204468Z chan=cowrie, saddr=3328327405, sport=55302, dport=23, daddr=2548830536, url=0, hash=asdasd
2019-02-01T09:16:10.211406Z chan=cowrie, saddr=3328327405, sport=44694, dport=23, daddr=2548830536, url=0, hash=asdasd
2019-02-01T09:16:04.471381Z chan=cowrie, saddr=93094013, sport=46200, dport=23, daddr=2548833908, url=0, hash=asdasd
2019-02-01T09:15:31.876551Z chan=cowrie, saddr=2680888115, sport=35510, dport=23, daddr=3115805500, url=0, hash=asdasd
2019-02-01T09:15:49.793887Z chan=cowrie, saddr=765916170, sport=57174, dport=23, daddr=3050811405, url=0, hash=asdasd
2019-02-01T09:15:47.700961Z chan=cowrie, saddr=3328327405, sport=37087, dport=23, daddr=1734884725, url=0, hash=asdasd
2019-02-01T09:15:30.507319Z chan=cowrie, saddr=96229172, sport=59774, dport=22, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:16:10.486197Z chan=cowrie, saddr=3328327405, sport=46673, dport=23, daddr=2429174864, url=0, hash=asdasd
2019-02-01T09:16:09.180228Z chan=cowrie, saddr=3328327405, sport=60836, dport=23, daddr=3221476730, url=0, hash=asdasd
2019-02-01T09:16:10.182737Z chan=cowrie, saddr=3328327405, sport=55407, dport=23, daddr=2667567061, url=0, hash=asdasd
2019-02-01T09:15:30.126595Z chan=cowrie, saddr=2056837790, sport=37252, dport=22, daddr=2988517694, url=0, hash=asdasd
2019-02-01T09:15:39.577446Z chan=cowrie, saddr=3328327405, sport=40363, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:15:52.758340Z chan=cowrie, saddr=2680888115, sport=54378, dport=23, daddr=3007179046, url=0, hash=asdasd
2019-02-01T09:16:09.252692Z chan=cowrie, saddr=3328327405, sport=46400, dport=23, daddr=1542536599, url=0, hash=asdasd
2019-02-01T09:15:31.465305Z chan=cowrie, saddr=96229178, sport=44280, dport=22, daddr=1558138911, url=0, hash=asdasd
2019-02-01T09:15:34.990351Z chan=cowrie, saddr=92337221, sport=42105, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-02-01T09:15:30.167312Z chan=cowrie, saddr=2680888115, sport=38148, dport=23, daddr=2584749374, url=0, hash=asdasd
2019-02-01T09:15:42.890982Z chan=cowrie, saddr=3328327405, sport=44284, dport=23, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:15:43.319289Z chan=cowrie, saddr=3328327405, sport=59452, dport=23, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:15:43.058300Z chan=cowrie, saddr=3328327405, sport=33793, dport=23, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:15:43.348031Z chan=cowrie, saddr=3328327405, sport=47155, dport=23, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:15:43.334040Z chan=cowrie, saddr=3328327405, sport=32959, dport=23, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:15:43.034593Z chan=cowrie, saddr=3328327405, sport=46480, dport=23, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:16:09.952135Z chan=cowrie, saddr=3328327405, sport=35473, dport=23, daddr=1741490229, url=0, hash=asdasd
2019-02-01T09:15:47.261635Z chan=cowrie, saddr=3328327405, sport=54365, dport=23, daddr=1388487729, url=0, hash=asdasd
2019-02-01T09:15:45.947855Z chan=cowrie, saddr=1761118117, sport=48616, dport=23, daddr=1729870152, url=0, hash=asdasd
2019-02-01T09:15:32.116480Z chan=cowrie, saddr=1844971881, sport=41416, dport=22, daddr=3235049349, url=0, hash=asdasd
2019-02-01T09:16:04.884240Z chan=cowrie, saddr=1761118117, sport=46547, dport=23, daddr=1542536599, url=0, hash=asdasd
2019-02-01T09:15:43.606965Z chan=cowrie, saddr=3515693497, sport=50402, dport=23, daddr=1741161782, url=0, hash=asdasd
2019-02-01T09:15:29.842929Z chan=cowrie, saddr=2680888115, sport=52944, dport=23, daddr=520330030, url=0, hash=asdasd
2019-02-01T09:16:09.215554Z chan=cowrie, saddr=3328327405, sport=39695, dport=23, daddr=2429174864, url=0, hash=asdasd
2019-02-01T09:15:37.231564Z chan=cowrie, saddr=3328327405, sport=34162, dport=23, daddr=1431866021, url=0, hash=asdasd
2019-02-01T09:15:35.731438Z chan=cowrie, saddr=3328327405, sport=34960, dport=23, daddr=1815968760, url=0, hash=asdasd
