2019-01-07T14:32:37.383340Z chan=cowrie, saddr=3468541156, sport=41054, dport=23, daddr=3584661408, url=0, hash=asdasd
2019-01-07T14:32:48.710442Z chan=cowrie, saddr=3328327405, sport=41272, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:32:46.389623Z chan=cowrie, saddr=3328327405, sport=48925, dport=23, daddr=3115805500, url=0, hash=asdasd
2019-01-07T14:32:29.107054Z chan=cowrie, saddr=3271791409, sport=23292, dport=22, daddr=3118679095, url=0, hash=asdasd
2019-01-07T14:32:37.689011Z chan=cowrie, saddr=3468541156, sport=51204, dport=23, daddr=1729870093, url=0, hash=asdasd
2019-01-07T14:32:59.906607Z chan=cowrie, saddr=93071277, sport=35965, dport=23, daddr=3272356540, url=0, hash=asdasd
2019-01-07T14:33:08.114789Z chan=cowrie, saddr=3328327405, sport=49046, dport=23, daddr=1388487729, url=0, hash=asdasd
2019-01-07T14:32:33.354246Z chan=cowrie, saddr=1441407943, sport=41124, dport=23, daddr=3338619473, url=0, hash=asdasd
2019-01-07T14:32:28.080647Z chan=cowrie, saddr=2671896505, sport=60062, dport=22, daddr=1334724125, url=0, hash=asdasd
2019-01-07T14:32:46.275150Z chan=cowrie, saddr=3328327405, sport=48292, dport=23, daddr=2584749374, url=0, hash=asdasd
2019-01-07T14:32:46.013111Z chan=cowrie, saddr=3328327405, sport=59124, dport=23, daddr=2584749374, url=0, hash=asdasd
2019-01-07T14:32:39.783302Z chan=cowrie, saddr=1532846646, sport=50255, dport=23, daddr=1729870093, url=0, hash=asdasd
2019-01-07T14:32:45.575926Z chan=cowrie, saddr=3328327405, sport=51705, dport=23, daddr=1431866021, url=0, hash=asdasd
2019-01-07T14:32:46.388914Z chan=cowrie, saddr=3328327405, sport=51930, dport=23, daddr=3259676145, url=0, hash=asdasd
2019-01-07T14:33:01.798921Z chan=cowrie, saddr=1373234018, sport=38927, dport=23, daddr=2338550958, url=0, hash=asdasd
2019-01-07T14:32:57.876499Z chan=cowrie, saddr=2328205230, sport=36546, dport=23, daddr=3227779066, url=0, hash=asdasd
2019-01-07T14:32:25.328746Z chan=cowrie, saddr=96229173, sport=65304, dport=22, daddr=3259676145, url=0, hash=asdasd
2019-01-07T14:32:53.245859Z chan=cowrie, saddr=3328327405, sport=43468, dport=23, daddr=1388487729, url=0, hash=asdasd
