2019-01-07T14:32:29.107054Z chan=cowrie, saddr=8, sport=8, dport=1, daddr=9, url=0, hash=asdasd
2019-01-07T14:32:37.689011Z chan=cowrie, saddr=8, sport=5, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:32:59.906607Z chan=cowrie, saddr=0, sport=4, dport=0, daddr=4, url=0, hash=asdasd
2019-01-07T14:33:08.114789Z chan=cowrie, saddr=8, sport=2, dport=0, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:33.354246Z chan=cowrie, saddr=3, sport=9, dport=0, daddr=4, url=0, hash=asdasd
2019-01-07T14:32:28.080647Z chan=cowrie, saddr=9, sport=0, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:46.275150Z chan=cowrie, saddr=8, sport=2, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:32:46.013111Z chan=cowrie, saddr=8, sport=0, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:32:39.783302Z chan=cowrie, saddr=3, sport=2, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:32:45.575926Z chan=cowrie, saddr=8, sport=5, dport=0, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:46.388914Z chan=cowrie, saddr=8, sport=5, dport=0, daddr=4, url=0, hash=asdasd
2019-01-07T14:33:01.798921Z chan=cowrie, saddr=3, sport=1, dport=0, daddr=3, url=0, hash=asdasd
2019-01-07T14:32:57.876499Z chan=cowrie, saddr=1, sport=1, dport=0, daddr=4, url=0, hash=asdasd
2019-01-07T14:32:25.328746Z chan=cowrie, saddr=0, sport=0, dport=1, daddr=4, url=0, hash=asdasd
2019-01-07T14:32:53.245859Z chan=cowrie, saddr=8, sport=9, dport=0, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:27.222784Z chan=cowrie, saddr=0, sport=4, dport=1, daddr=8, url=0, hash=asdasd
2019-01-07T14:32:25.321713Z chan=cowrie, saddr=0, sport=9, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:45.349186Z chan=cowrie, saddr=9, sport=2, dport=0, daddr=9, url=0, hash=asdasd
2019-01-07T14:33:03.754010Z chan=cowrie, saddr=6, sport=9, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:32:32.921360Z chan=cowrie, saddr=0, sport=7, dport=1, daddr=0, url=0, hash=asdasd
2019-01-07T14:32:43.227226Z chan=cowrie, saddr=8, sport=6, dport=0, daddr=4, url=0, hash=asdasd
2019-01-07T14:33:02.686916Z chan=cowrie, saddr=9, sport=6, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:32:34.690964Z chan=cowrie, saddr=8, sport=6, dport=0, daddr=7, url=0, hash=asdasd
2019-01-07T14:32:35.933095Z chan=cowrie, saddr=4, sport=1, dport=0, daddr=1, url=0, hash=asdasd
2019-01-07T14:32:25.297447Z chan=cowrie, saddr=2, sport=5, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:48.111188Z chan=cowrie, saddr=8, sport=6, dport=0, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:46.710124Z chan=cowrie, saddr=8, sport=2, dport=0, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:48.494703Z chan=cowrie, saddr=8, sport=2, dport=0, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:46.094803Z chan=cowrie, saddr=8, sport=5, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:32:45.815042Z chan=cowrie, saddr=8, sport=5, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:32:23.416348Z chan=cowrie, saddr=0, sport=7, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:55.819762Z chan=cowrie, saddr=1, sport=4, dport=0, daddr=4, url=0, hash=asdasd
2019-01-07T14:32:34.585334Z chan=cowrie, saddr=8, sport=0, dport=0, daddr=1, url=0, hash=asdasd
2019-01-07T14:32:34.160274Z chan=cowrie, saddr=0, sport=9, dport=1, daddr=0, url=0, hash=asdasd
2019-01-07T14:32:56.683451Z chan=cowrie, saddr=8, sport=9, dport=0, daddr=5, url=0, hash=asdasd
