2019-02-08T16:40:25.539666Z chan=cowrie, saddr=1, sport=1, dport=0, daddr=8, url=0, hash=h
2019-02-08T16:40:25.384641Z chan=cowrie, saddr=1, sport=9, dport=0, daddr=8, url=0, hash=h
2019-02-08T16:40:53.269402Z chan=cowrie, saddr=1, sport=5, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:40:52.253414Z chan=cowrie, saddr=1, sport=7, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:41:03.388608Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:15.225221Z chan=cowrie, saddr=2, sport=8, dport=1, daddr=0, url=0, hash=h
2019-02-08T16:40:14.560176Z chan=cowrie, saddr=5, sport=7, dport=1, daddr=3, url=0, hash=h
2019-02-08T16:40:26.070164Z chan=cowrie, saddr=6, sport=3, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:23.239517Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:15.630794Z chan=cowrie, saddr=5, sport=5, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:40:13.681988Z chan=cowrie, saddr=2, sport=1, dport=1, daddr=1, url=0, hash=h
2019-02-08T16:40:28.351868Z chan=cowrie, saddr=4, sport=9, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:47.309410Z chan=cowrie, saddr=5, sport=1, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:13.212293Z chan=cowrie, saddr=5, sport=9, dport=1, daddr=0, url=0, hash=h
2019-02-08T16:40:13.159765Z chan=cowrie, saddr=5, sport=1, dport=1, daddr=0, url=0, hash=h
2019-02-08T16:40:13.057155Z chan=cowrie, saddr=5, sport=5, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:40:13.057028Z chan=cowrie, saddr=5, sport=8, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:40:12.938099Z chan=cowrie, saddr=5, sport=1, dport=1, daddr=3, url=0, hash=h
2019-02-08T16:40:12.699880Z chan=cowrie, saddr=2, sport=1, dport=1, daddr=1, url=0, hash=h
2019-02-08T16:40:20.131590Z chan=cowrie, saddr=6, sport=2, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:11.800766Z chan=cowrie, saddr=2, sport=1, dport=1, daddr=6, url=0, hash=h
2019-02-08T16:41:10.633907Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:26.173739Z chan=cowrie, saddr=3, sport=0, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:45.067151Z chan=cowrie, saddr=6, sport=1, dport=0, daddr=6, url=0, hash=h
2019-02-08T16:40:27.503672Z chan=cowrie, saddr=6, sport=1, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:23.043034Z chan=cowrie, saddr=6, sport=5, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:13.385181Z chan=cowrie, saddr=2, sport=7, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:18.064256Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:41:01.610920Z chan=cowrie, saddr=2, sport=7, dport=0, daddr=3, url=0, hash=h
2019-02-08T16:40:19.393419Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:20.468539Z chan=cowrie, saddr=6, sport=2, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:16.949266Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=3, url=0, hash=h
2019-02-08T16:40:27.796807Z chan=cowrie, saddr=4, sport=8, dport=0, daddr=4, url=0, hash=h
2019-02-08T16:41:05.651050Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:26.000791Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:08.218125Z chan=cowrie, saddr=5, sport=8, dport=1, daddr=0, url=0, hash=h
2019-02-08T16:40:08.363632Z chan=cowrie, saddr=5, sport=9, dport=1, daddr=2, url=0, hash=h
2019-02-08T16:40:18.046288Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=1, url=0, hash=h
2019-02-08T16:40:05.722247Z chan=cowrie, saddr=2, sport=2, dport=1, daddr=6, url=0, hash=h
2019-02-08T16:40:05.534904Z chan=cowrie, saddr=2, sport=0, dport=1, daddr=2, url=0, hash=h
2019-02-08T16:40:04.688581Z chan=cowrie, saddr=6, sport=1, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:25.098426Z chan=cowrie, saddr=6, sport=1, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:57.481852Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:04.237846Z chan=cowrie, saddr=5, sport=2, dport=1, daddr=3, url=0, hash=h
2019-02-08T16:40:17.306396Z chan=cowrie, saddr=6, sport=0, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:54.059515Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:10.983698Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:10.413403Z chan=cowrie, saddr=1, sport=0, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:52.034279Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:10.263502Z chan=cowrie, saddr=6, sport=0, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:10.223512Z chan=cowrie, saddr=6, sport=2, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:16.447839Z chan=cowrie, saddr=6, sport=1, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:16.949562Z chan=cowrie, saddr=4, sport=7, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:58.784396Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:00.984607Z chan=cowrie, saddr=2, sport=5, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:40:10.784004Z chan=cowrie, saddr=6, sport=1, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:00.550818Z chan=cowrie, saddr=2, sport=2, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:40:32.924285Z chan=cowrie, saddr=8, sport=0, dport=0, daddr=6, url=0, hash=h
2019-02-08T16:40:12.612739Z chan=cowrie, saddr=4, sport=0, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:39:58.694460Z chan=cowrie, saddr=2, sport=0, dport=1, daddr=0, url=0, hash=h
2019-02-08T16:40:33.195257Z chan=cowrie, saddr=3, sport=8, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:40:04.743676Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=6, url=0, hash=h
2019-02-08T16:40:04.836771Z chan=cowrie, saddr=6, sport=5, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:40:06.902593Z chan=cowrie, saddr=6, sport=5, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:04.427815Z chan=cowrie, saddr=6, sport=3, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:09.125777Z chan=cowrie, saddr=4, sport=0, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:04.405129Z chan=cowrie, saddr=6, sport=1, dport=0, daddr=3, url=0, hash=h
2019-02-08T16:39:58.793604Z chan=cowrie, saddr=7, sport=1, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:40:53.691410Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:08.658213Z chan=cowrie, saddr=6, sport=2, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:06.890262Z chan=cowrie, saddr=6, sport=0, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:04.054938Z chan=cowrie, saddr=6, sport=0, dport=0, daddr=6, url=0, hash=h
2019-02-08T16:40:03.592094Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=6, url=0, hash=h
2019-02-08T16:40:02.688657Z chan=cowrie, saddr=6, sport=1, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:39:53.307729Z chan=cowrie, saddr=2, sport=1, dport=1, daddr=9, url=0, hash=h
2019-02-08T16:40:01.569673Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:39:52.579180Z chan=cowrie, saddr=2, sport=5, dport=1, daddr=2, url=0, hash=h
2019-02-08T16:40:00.778149Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=6, url=0, hash=h
2019-02-08T16:39:59.721329Z chan=cowrie, saddr=6, sport=3, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:39:58.354545Z chan=cowrie, saddr=4, sport=9, dport=0, daddr=1, url=0, hash=h
2019-02-08T16:39:59.548139Z chan=cowrie, saddr=6, sport=0, dport=0, daddr=4, url=0, hash=h
2019-02-08T16:40:01.675196Z chan=cowrie, saddr=5, sport=2, dport=1, daddr=1, url=0, hash=h
2019-02-08T16:40:01.670483Z chan=cowrie, saddr=5, sport=5, dport=1, daddr=1, url=0, hash=h
2019-02-08T16:40:26.279626Z chan=cowrie, saddr=1, sport=2, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:03.600154Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:03.693278Z chan=cowrie, saddr=4, sport=3, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:24.003959Z chan=cowrie, saddr=5, sport=8, dport=0, daddr=4, url=0, hash=h
2019-02-08T16:39:52.352449Z chan=cowrie, saddr=2, sport=8, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:39:49.801712Z chan=cowrie, saddr=5, sport=0, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:40:00.729563Z chan=cowrie, saddr=6, sport=9, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:39:57.453561Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:39:48.521531Z chan=cowrie, saddr=2, sport=1, dport=1, daddr=6, url=0, hash=h
2019-02-08T16:40:07.806694Z chan=cowrie, saddr=4, sport=8, dport=0, daddr=4, url=0, hash=h
2019-02-08T16:39:47.808631Z chan=cowrie, saddr=2, sport=5, dport=1, daddr=3, url=0, hash=h
2019-02-08T16:40:21.776928Z chan=cowrie, saddr=8, sport=9, dport=0, daddr=4, url=0, hash=h
2019-02-08T16:39:59.376280Z chan=cowrie, saddr=6, sport=9, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:39:46.127599Z chan=cowrie, saddr=2, sport=7, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:39:46.427959Z chan=cowrie, saddr=9, sport=2, dport=1, daddr=9, url=0, hash=h
2019-02-08T16:39:45.886895Z chan=cowrie, saddr=9, sport=1, dport=1, daddr=9, url=0, hash=h
2019-02-08T16:39:45.213039Z chan=cowrie, saddr=2, sport=7, dport=1, daddr=2, url=0, hash=h
2019-02-08T16:40:00.293268Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:39:56.357763Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:39:52.414656Z chan=cowrie, saddr=6, sport=0, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:39:53.996846Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=6, url=0, hash=h
2019-02-08T16:39:43.130716Z chan=cowrie, saddr=2, sport=3, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:39:52.994122Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:39:42.998462Z chan=cowrie, saddr=2, sport=8, dport=1, daddr=6, url=0, hash=h
2019-02-08T16:39:54.971431Z chan=cowrie, saddr=4, sport=3, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:39:42.700450Z chan=cowrie, saddr=2, sport=7, dport=1, daddr=0, url=0, hash=h
2019-02-08T16:39:44.459125Z chan=cowrie, saddr=7, sport=1, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:39:41.448271Z chan=cowrie, saddr=7, sport=1, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:39:44.709865Z chan=cowrie, saddr=5, sport=0, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:39:50.181516Z chan=cowrie, saddr=6, sport=5, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:39:43.437454Z chan=cowrie, saddr=5, sport=1, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:39:40.408456Z chan=cowrie, saddr=2, sport=5, dport=1, daddr=3, url=0, hash=h
2019-02-08T16:40:13.008922Z chan=cowrie, saddr=5, sport=1, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:39:40.226855Z chan=cowrie, saddr=5, sport=7, dport=1, daddr=4, url=0, hash=h
